date,cpi,fed_rate,oil_price,gold_price
1986-01-01,109.9,8.14,22.925454545454546,347.48
1986-02-01,109.7,7.86,15.454736842105262,338.89
1986-03-01,109.1,7.48,12.6125,345.7
1986-04-01,108.7,6.99,12.843636363636364,340.44
1986-05-01,109.0,6.85,15.377619047619048,342.4
1986-06-01,109.4,6.92,13.425714285714285,342.7
1986-07-01,109.5,6.56,11.584545454545456,348.34
1986-08-01,109.6,6.17,15.096666666666666,376.66
1986-09-01,110.0,5.89,14.866666666666665,417.73
1986-10-01,110.2,5.85,14.896818181818183,423.51
1986-11-01,110.4,6.04,15.22157894736842,397.56
1986-12-01,110.8,6.91,16.107619047619046,390.92
1987-01-01,111.4,6.43,18.65142857142857,408.26
1987-02-01,111.8,6.1,17.748947368421053,401.12
1987-03-01,112.2,6.13,18.302857142857142,408.91
1987-04-01,112.7,6.37,18.677142857142858,438.35
1987-05-01,113.0,6.85,19.4375,460.23
1987-06-01,113.5,6.73,20.07318181818182,449.59
1987-07-01,113.8,6.58,21.342173913043478,450.52
1987-08-01,114.3,6.73,20.310952380952383,461.15
1987-09-01,114.7,7.22,19.529999999999998,460.38
1987-10-01,115.0,7.29,19.85909090909091,465.35
1987-11-01,115.4,6.69,18.854,467.57
1987-12-01,115.6,6.77,17.274545454545457,486.24
1988-01-01,116.0,6.83,17.1295,476.58
1988-02-01,116.2,6.58,16.795714285714286,442.07
1988-03-01,116.5,6.58,16.197391304347825,443.61
1988-04-01,117.2,6.87,17.8625,451.55
1988-05-01,117.5,7.09,17.423636363636362,451.07
1988-06-01,118.0,7.51,16.527727272727272,451.33
1988-07-01,118.5,7.75,15.497499999999999,437.63
1988-08-01,119.0,8.01,15.523478260869567,431.28
1988-09-01,119.5,8.19,14.535454545454543,413.46
1988-10-01,119.9,8.3,13.770476190476192,406.78
1988-11-01,120.3,8.35,14.141363636363637,420.17
1988-12-01,120.7,8.76,16.382380952380952,419.05
1989-01-01,121.2,9.12,18.024285714285714,404.01
1989-02-01,121.6,9.36,17.936500000000002,387.51
1989-03-01,122.2,9.85,19.48409090909091,390.15
1989-04-01,123.1,9.84,21.069,384.4
1989-05-01,123.7,9.81,20.123478260869565,371.05
1989-06-01,124.1,9.53,20.050454545454546,367.6
1989-07-01,124.5,9.24,19.781428571428574,375.04
1989-08-01,124.5,8.99,18.577826086956524,365.14
1989-09-01,124.8,9.02,19.591428571428573,361.75
1989-10-01,125.4,8.84,20.097727272727273,366.88
1989-11-01,125.9,8.55,19.85590909090909,394.26
1989-12-01,126.3,8.45,21.1,409.39
1990-01-01,127.5,8.23,22.86318181818182,410.11
1990-02-01,128.0,8.24,22.113,416.81
1990-03-01,128.6,8.28,20.387727272727275,393.06
1990-04-01,128.9,8.26,18.4255,374.24
1990-05-01,129.1,8.18,18.199545454545454,369.05
1990-06-01,129.9,8.29,16.695238095238096,352.33
1990-07-01,130.5,8.15,18.454090909090908,362.53
1990-08-01,131.6,8.13,27.307391304347828,394.73
1990-09-01,132.5,8.2,33.5075,389.32
1990-10-01,133.4,8.11,36.039565217391306,380.74
1990-11-01,133.7,7.81,32.33227272727272,381.73
1990-12-01,134.2,7.31,27.281,376.95
1991-01-01,134.7,6.91,25.23409090909091,383.64
1991-02-01,134.8,6.25,20.4775,363.83
1991-03-01,134.8,6.12,19.9015,363.34
1991-04-01,135.1,5.91,20.83,358.38
1991-05-01,135.6,5.78,21.23227272727273,356.95
1991-06-01,136.0,5.9,20.189,366.72
1991-07-01,136.2,5.82,21.40304347826087,367.69
1991-08-01,136.6,5.66,21.69363636363636,356.31
1991-09-01,137.0,5.45,21.8865,348.74
1991-10-01,137.2,5.21,23.23086956521739,358.69
1991-11-01,137.8,4.81,22.46095238095238,360.17
1991-12-01,138.2,4.43,19.49809523809524,361.73
1992-01-01,138.3,4.03,18.785454545454545,354.45
1992-02-01,138.6,4.06,19.0125,353.91
1992-03-01,139.1,3.98,18.921818181818182,344.34
1992-04-01,139.4,3.73,20.23,338.62
1992-05-01,139.7,3.82,20.9755,337.24
1992-06-01,140.1,3.76,22.384545454545453,340.81
1992-07-01,140.5,3.25,21.77521739130435,352.72
1992-08-01,140.8,3.3,21.33904761904762,343.06
1992-09-01,141.1,3.22,21.881363636363634,345.43
1992-10-01,141.7,3.1,21.68590909090909,344.38
1992-11-01,142.1,3.09,20.3385,335.02
1992-12-01,142.3,2.92,19.41409090909091,334.82
1993-01-01,142.8,3.02,19.032,329.01
1993-02-01,143.1,3.03,20.086111111111112,329.31
1993-03-01,143.3,3.07,20.32217391304348,330.08
1993-04-01,143.8,2.96,20.2525,342.15
1993-05-01,144.2,3.0,19.9495,367.18
1993-06-01,144.3,3.04,19.09409090909091,371.89
1993-07-01,144.5,3.06,17.89,392.19
1993-08-01,144.8,3.03,18.01090909090909,378.84
1993-09-01,145.0,3.09,17.504285714285714,355.28
1993-10-01,145.6,2.99,18.153333333333332,364.18
1993-11-01,146.0,3.02,16.60904761904762,373.83
1993-12-01,146.3,2.96,14.514761904761905,383.3
1994-01-01,146.3,3.05,15.026666666666667,386.88
1994-02-01,146.7,3.25,14.78105263157895,381.91
1994-03-01,147.1,3.34,14.680869565217392,384.13
1994-04-01,147.2,3.56,16.419999999999998,377.27
1994-05-01,147.5,4.01,17.88904761904762,381.43
1994-06-01,147.9,4.25,19.06,385.64
1994-07-01,148.4,4.26,19.654500000000002,385.49
1994-08-01,149.0,4.47,18.383478260869566,380.36
1994-09-01,149.3,4.73,17.445714285714285,391.58
1994-10-01,149.4,4.76,17.716190476190476,389.77
1994-11-01,149.8,5.29,18.069499999999998,384.39
1994-12-01,150.1,5.45,17.15952380952381,379.29
1995-01-01,150.5,5.53,18.039523809523807,378.55
1995-02-01,150.9,5.92,18.57,376.64
1995-03-01,151.2,5.98,18.539130434782606,382.12
1995-04-01,151.8,6.05,19.896315789473682,391.03
1995-05-01,152.1,6.01,19.741818181818182,385.22
1995-06-01,152.4,6.0,18.44590909090909,387.56
1995-07-01,152.6,5.85,17.325499999999998,386.23
1995-08-01,152.9,5.74,18.020869565217392,383.67
1995-09-01,153.1,5.8,18.2255,383.06
1995-10-01,153.5,5.76,17.43318181818182,383.14
1995-11-01,153.7,5.8,17.9925,385.31
1995-12-01,153.9,5.6,19.026500000000002,387.44
1996-01-01,154.7,5.56,18.854545454545455,399.45
1996-02-01,155.0,5.22,19.0935,404.76
1996-03-01,155.5,5.31,21.33238095238095,396.21
1996-04-01,156.1,5.22,23.497142857142858,392.85
1996-05-01,156.4,5.24,21.165454545454544,391.93
1996-06-01,156.7,5.27,20.4235,385.27
1996-07-01,157.0,5.4,21.302272727272726,383.47
1996-08-01,157.2,5.22,21.903181818181817,387.35
1996-09-01,157.7,5.3,23.9715,383.14
1996-10-01,158.2,5.24,24.87913043478261,381.07
1996-11-01,158.7,5.31,23.705000000000002,377.85
1996-12-01,159.1,5.29,25.228571428571428,369.0
1997-01-01,159.4,5.25,25.13181818181818,355.11
1997-02-01,159.7,5.19,22.176315789473687,346.58
1997-03-01,159.8,5.39,20.965,351.81
1997-04-01,159.9,5.51,19.695454545454545,344.47
1997-05-01,159.9,5.5,20.81904761904762,343.84
1997-06-01,160.2,5.56,19.26,340.76
1997-07-01,160.4,5.52,19.663636363636364,324.1
1997-08-01,160.8,5.54,19.95285714285714,324.01
1997-09-01,161.2,5.54,19.803333333333335,322.82
1997-10-01,161.5,5.5,21.32521739130435,324.87
1997-11-01,161.7,5.52,20.19388888888889,306.04
1997-12-01,161.8,5.5,18.332727272727272,288.74
1998-01-01,162.0,5.56,16.724,289.1
1998-02-01,162.0,5.51,16.06,297.49
1998-03-01,162.0,5.49,15.115454545454547,295.94
1998-04-01,162.2,5.45,15.353809523809524,308.29
1998-05-01,162.6,5.49,14.914000000000001,299.1
1998-06-01,162.8,5.56,13.72181818181818,292.32
1998-07-01,163.2,5.54,14.172727272727274,292.87
1998-08-01,163.4,5.55,13.47190476190476,284.11
1998-09-01,163.5,5.51,15.031428571428572,288.98
1998-10-01,163.9,5.07,14.460909090909091,295.93
1998-11-01,164.1,4.83,13.002105263157894,294.12
1998-12-01,164.4,4.68,11.347272727272726,291.68
1999-01-01,164.7,4.63,12.514736842105263,287.08
1999-02-01,164.7,4.76,12.013684210526316,287.33
1999-03-01,164.8,4.81,14.676521739130434,285.96
1999-04-01,165.9,4.74,17.312380952380952,282.62
1999-05-01,166.0,4.74,17.7185,276.44
1999-06-01,166.0,4.76,17.923181818181817,261.31
1999-07-01,166.7,4.99,20.103333333333335,256.08
1999-08-01,167.1,5.07,21.278636363636362,256.69
1999-09-01,167.8,5.22,23.796666666666667,264.74
1999-10-01,168.1,5.2,22.69142857142857,310.72
1999-11-01,168.4,5.42,25.00238095238095,293.18
1999-12-01,168.8,5.3,26.10238095238095,283.07
2000-01-01,169.3,5.45,27.259473684210523,284.32
2000-02-01,170.0,5.73,29.366000000000003,299.86
2000-03-01,171.0,5.85,29.84173913043478,286.39
2000-04-01,170.9,6.02,25.722105263157896,279.69
2000-05-01,171.2,6.27,28.78818181818182,275.19
2000-06-01,172.2,6.53,31.82227272727273,285.73
2000-07-01,172.7,6.54,29.69684210526316,281.59
2000-08-01,172.7,6.5,31.26391304347826,274.47
2000-09-01,173.6,6.52,33.884,273.68
2000-10-01,173.9,6.51,33.108636363636364,270.0
2000-11-01,174.2,6.51,34.417142857142856,266.01
2000-12-01,174.6,6.4,28.436500000000002,271.45
2001-01-01,175.6,5.98,29.585714285714282,265.49
2001-02-01,176.0,5.49,29.609473684210528,261.87
2001-03-01,176.1,5.31,27.244545454545456,263.03
2001-04-01,176.4,4.8,27.49,260.48
2001-05-01,177.3,4.21,28.62909090909091,272.36
2001-06-01,177.7,3.97,27.59904761904762,270.23
2001-07-01,177.4,3.77,26.4247619047619,267.53
2001-08-01,177.4,3.65,27.37391304347826,272.39
2001-09-01,178.1,3.07,26.199473684210528,283.42
2001-10-01,177.6,2.49,22.169565217391302,283.06
2001-11-01,177.5,2.09,19.634999999999998,276.16
2001-12-01,177.4,1.82,19.388947368421054,275.85
