realtime_start,realtime_end,date,value
2026-04-16,2026-04-16,1967-01-01,89.3902
2026-04-16,2026-04-16,1967-02-01,87.9750
2026-04-16,2026-04-16,1967-03-01,87.0835
2026-04-16,2026-04-16,1967-04-01,87.5089
2026-04-16,2026-04-16,1967-05-01,86.3566
2026-04-16,2026-04-16,1967-06-01,85.9603
2026-04-16,2026-04-16,1967-07-01,85.3833
2026-04-16,2026-04-16,1967-08-01,86.6339
2026-04-16,2026-04-16,1967-09-01,86.1122
2026-04-16,2026-04-16,1967-10-01,86.4325
2026-04-16,2026-04-16,1967-11-01,87.2856
2026-04-16,2026-04-16,1967-12-01,87.8417
2026-04-16,2026-04-16,1968-01-01,87.3856
2026-04-16,2026-04-16,1968-02-01,87.352
2026-04-16,2026-04-16,1968-03-01,87.2794
2026-04-16,2026-04-16,1968-04-01,87.0627
2026-04-16,2026-04-16,1968-05-01,87.6951
2026-04-16,2026-04-16,1968-06-01,87.6744
2026-04-16,2026-04-16,1968-07-01,87.2002
2026-04-16,2026-04-16,1968-08-01,87.1055
2026-04-16,2026-04-16,1968-09-01,87.0988
2026-04-16,2026-04-16,1968-10-01,86.9369
2026-04-16,2026-04-16,1968-11-01,87.7249
2026-04-16,2026-04-16,1968-12-01,87.6668
2026-04-16,2026-04-16,1969-01-01,87.8712
2026-04-16,2026-04-16,1969-02-01,88.1166
2026-04-16,2026-04-16,1969-03-01,88.4902
2026-04-16,2026-04-16,1969-04-01,87.8507
2026-04-16,2026-04-16,1969-05-01,87.2081
2026-04-16,2026-04-16,1969-06-01,87.7487
2026-04-16,2026-04-16,1969-07-01,87.9011
2026-04-16,2026-04-16,1969-08-01,87.7936
2026-04-16,2026-04-16,1969-09-01,87.4667
2026-04-16,2026-04-16,1969-10-01,87.1872
2026-04-16,2026-04-16,1969-11-01,86.0651
2026-04-16,2026-04-16,1969-12-01,85.5368
2026-04-16,2026-04-16,1970-01-01,83.6765
2026-04-16,2026-04-16,1970-02-01,83.3607
2026-04-16,2026-04-16,1970-03-01,82.9935
2026-04-16,2026-04-16,1970-04-01,82.5235
2026-04-16,2026-04-16,1970-05-01,82.1724
2026-04-16,2026-04-16,1970-06-01,81.6542
2026-04-16,2026-04-16,1970-07-01,81.6031
2026-04-16,2026-04-16,1970-08-01,81.208
2026-04-16,2026-04-16,1970-09-01,80.4019
2026-04-16,2026-04-16,1970-10-01,78.5535
2026-04-16,2026-04-16,1970-11-01,77.8407
2026-04-16,2026-04-16,1970-12-01,79.3872
2026-04-16,2026-04-16,1971-01-01,79.7753
2026-04-16,2026-04-16,1971-02-01,79.4216
2026-04-16,2026-04-16,1971-03-01,79.1348
2026-04-16,2026-04-16,1971-04-01,79.3783
2026-04-16,2026-04-16,1971-05-01,79.5802
2026-04-16,2026-04-16,1971-06-01,79.7132
2026-04-16,2026-04-16,1971-07-01,79.2827
2026-04-16,2026-04-16,1971-08-01,78.6255
2026-04-16,2026-04-16,1971-09-01,79.7041
2026-04-16,2026-04-16,1971-10-01,80.1009
2026-04-16,2026-04-16,1971-11-01,80.2412
2026-04-16,2026-04-16,1971-12-01,80.9666
2026-04-16,2026-04-16,1972-01-01,82.6938
