model,horizon,n,RMSE,MAE,R2
RandomForest,1,180,0.2649082730078272,0.19167126626184688,-0.019394685366277198
ARIMA,1,180,0.26591073836574086,0.1855199771343664,-0.027124465922652385
XGBoost,1,180,0.2822254785033253,0.20015245273643173,-0.15702770526149967
ElasticNet,1,180,0.3551015940307012,0.21074358187168457,-0.831709365307916
ARIMA,3,178,0.2638098740978471,0.1856152874803191,-0.0015266667420645863
XGBoost,3,178,0.28034752789779277,0.20186281030218847,-0.13102937813042614
RandomForest,3,178,0.30194280891731873,0.21312442713705895,-0.31198782783256074
ElasticNet,3,178,0.3273261840355934,0.223413014621319,-0.5418492685601017
ElasticNet,6,175,0.25622355645830786,0.1937826621582252,0.05846169542902491
ARIMA,6,175,0.26981629768762794,0.18921663527255247,-0.04408592349616214
RandomForest,6,175,0.281001942187372,0.2005591506098348,-0.13244867050311737
XGBoost,6,175,0.29924198388064743,0.21389933550217183,-0.2842362770045461
ElasticNet,12,169,0.2598194979975672,0.19882346700126688,0.05882837612893421
ARIMA,12,169,0.2756162336607258,0.19371085850470726,-0.05909503869188182
RandomForest,12,169,0.29391776078729276,0.2115221379601005,-0.20441736034531632
XGBoost,12,169,0.3035119488391756,0.2222385185623647,-0.2843309038889268
