model,horizon,regime,n,RMSE,MAE,R2
XGBoost,1,post_COVID,70,0.30321033769759287,0.21902336146648552,0.060968424560613355
RandomForest,1,post_COVID,70,0.3140807147127747,0.22132718897732312,-0.0075688415010715104
ARIMA,1,post_COVID,70,0.35062354462174206,0.2421320879940754,-0.2556665915871885
ElasticNet,1,post_COVID,70,0.5239616432730995,0.3219783000883796,-1.8040850290160657
ElasticNet,1,pre_COVID,110,0.17786561120598937,0.13995785209742412,0.15916161262354012
ARIMA,1,pre_COVID,110,0.19357762917943502,0.1494940884054607,0.004046904825631303
RandomForest,1,pre_COVID,110,0.2281642567144037,0.17279931544290747,-0.3836421186976027
XGBoost,1,pre_COVID,110,0.26801736895699646,0.18814369263548847,-0.9092132140689486
XGBoost,3,post_COVID,68,0.32899998477227693,0.24258301812103789,-0.4916669433763077
ARIMA,3,post_COVID,70,0.3374996844944833,0.23790930953689857,-0.163426441826362
RandomForest,3,post_COVID,68,0.3615162315440243,0.2626994727401774,-0.8010912331591102
ElasticNet,3,post_COVID,68,0.42952520460380755,0.28622762092118365,-1.542479246304619
ARIMA,3,pre_COVID,108,0.20217802590510478,0.1517210139251287,-0.08304341360104828
ElasticNet,3,pre_COVID,110,0.24357010153748446,0.18458216709049352,-0.23406648308987354
XGBoost,3,pre_COVID,110,0.2454953389719554,0.1766903181959906,-0.2536523083322668
RandomForest,3,pre_COVID,110,0.25833334400940244,0.18247803530967666,-0.3881983832890239
ElasticNet,6,post_COVID,65,0.2689448084830225,0.2047349469241969,-0.0014277385830436806
RandomForest,6,post_COVID,65,0.2996803765464151,0.21778777540642277,-0.24339723543916691
XGBoost,6,post_COVID,65,0.32038378994831196,0.2360104015544471,-0.421131791720305
ARIMA,6,post_COVID,70,0.34968213182948943,0.25131864046246305,-0.2489327959853418
ARIMA,6,pre_COVID,105,0.1995402932138941,0.14781529847927877,-0.10197240459226009
ElasticNet,6,pre_COVID,110,0.24840041454505588,0.18731085752378743,-0.279501710668959
RandomForest,6,pre_COVID,110,0.2693565512835944,0.1903785995936692,-0.5044969932150642
XGBoost,6,pre_COVID,110,0.28601547358709656,0.2008337055621909,-0.6963493509317595
ElasticNet,12,post_COVID,59,0.30162947254074085,0.23030270093307048,-0.16945448506406713
RandomForest,12,post_COVID,59,0.32036531903230747,0.22678522673092297,-0.31924897620175074
XGBoost,12,post_COVID,59,0.3284290244095602,0.23777953875032928,-0.3864966832781884
ARIMA,12,post_COVID,70,0.35320834491852443,0.2546084954744611,-0.2742484061921666
ARIMA,12,pre_COVID,99,0.2036296561889134,0.15065192327356813,-0.105556172737723
ElasticNet,12,pre_COVID,110,0.2343405254714036,0.18193915061966315,-0.11571399203666788
RandomForest,12,pre_COVID,110,0.2787000757945699,0.20333557216484124,-0.5780917679076516
XGBoost,12,pre_COVID,110,0.2892643365111474,0.21390288046154737,-0.6999958688295467
